"","Year","Number_Tropical_Storms","Number_Hurricanes","Number_Major_Hurricanes","Accumulated_Cyclone_Energy","Min_Known_Deaths","Damage_USD"
"1","1900",7,3,2,83.35,8000,60000000
"2","1901",12,5,1,98.98,10,1000000
"3","1902",5,3,0,32.65,0,NA
"4","1903",10,7,1,102.07,228,115000000
"5","1904",5,3,0,30.35,87,1000000
"6","1905",5,1,1,28.38,1,NA
"7","1906",11,6,3,162.88,367,248000000
"8","1907",5,0,0,13.06,0,NA
"9","1908",10,6,1,95.11,0,NA
"10","1909",11,6,4,93.34,4614,75000000
"11","1910",5,3,1,63.9,100,125000000
"12","1911",6,3,0,34.29,27,3000000
"13","1912",7,4,1,57.26,116,67000
"14","1913",6,4,0,35.6,5,4000000
"15","1914",1,0,0,2.53,0,NA
"16","1915",6,5,4,130.1,675,63000000
"17","1916",15,10,5,144.01,31,59000000
"18","1917",4,2,2,60.67,5,170000
"19","1918",6,4,1,39.87,34,5000000
"20","1919",5,2,1,55.04,900,22000000
"21","1920",5,4,0,29.81,2,1575000000
"22","1921",7,5,2,86.53,6,365000000
"23","1922",5,3,1,54.52,NA,NA
"24","1923",9,4,1,49.31,0,NA
"25","1924",11,5,2,100.19,150,NA
"26","1925",4,2,0,7.25,59,199000000
"27","1926",11,8,6,229.56,1315,NA
"28","1927",8,4,1,56.48,184,NA
"29","1928",6,4,1,83.48,4000,NA
"30","1929",5,3,1,48.07,51,90000000
"31","1930",3,2,2,49.77,8000,50000000
"32","1931",13,3,1,47.84,2502,75000000
"33","1932",15,6,4,169.66,3315,37000000
"34","1933",20,11,6,258.57,651,866000000
"35","1934",13,7,1,79.07,2017,426000000
"36","1935",8,5,3,106.21,2604,125000000
"37","1936",17,7,1,99.78,5,123000000
"38","1937",11,4,1,65.85,0,NA
"39","1938",9,4,2,77.58,700,NA
"40","1939",6,3,1,43.68,5,NA
"41","1940",9,6,0,67.79,101,47000000
"42","1941",6,4,3,51.77,63,10000000
"43","1942",11,4,1,62.49,17,306000000
"44","1943",10,5,2,94.01,19,172000000
"45","1944",14,8,3,104.45,1153,202000000
"46","1945",11,5,2,63.42,80,80000000
"47","1946",7,3,0,19.61,5,52000000
"48","1947",10,5,2,88.49,94,1453000000
"49","1948",10,6,4,94.98,94,309000000
"50","1949",16,7,3,96.45,3,582000000
"51","1950",16,11,6,211.28,20,37000000
"52","1951",12,8,3,126.33,257,80000000
"53","1952",11,5,2,69.08,607,375000000
"54","1953",14,7,3,98.51,1,6000000
"55","1954",16,7,3,110.88,1069,752000000
"56","1955",13,9,4,158.17,1518,NA
"57","1956",12,4,1,56.67,76,678000000
"58","1957",8,3,2,78.66,513,1525000000
"59","1958",12,7,3,109.69,41,12000000
"60","1959",14,7,2,77.11,59,233000000
"61","1960",8,4,2,72.9,455,NA
"62","1961",12,8,5,205.4,345,392000000
"63","1962",7,4,0,35.57,39,488000000
"64","1963",10,7,3,117.93,7225,589000000
"65","1964",13,7,5,169.77,261,605000000
"66","1965",10,4,1,84.33,76,NA
"67","1966",11,7,3,145.28,1094,410000000
"68","1967",8,6,1,121.7,64,217000000
"69","1968",8,4,0,45.07,10,10000000
"70","1969",18,12,5,165.74,364,NA
"71","1970",11,5,2,40.18,71,454000000
"72","1971",13,6,1,96.53,45,213000000
"73","1972",7,3,0,35.61,122,NA
"74","1973",8,4,1,47.85,15,18000000
"75","1974",11,4,2,68.13,8260,NA
"76","1975",9,6,3,76.06,80,100000000
"77","1976",10,6,2,84.17,72,100000000
"78","1977",6,5,1,25.32,10,10000000
"79","1978",12,5,2,63.22,37,45000000
"80","1979",9,5,2,92.92,2118,NA
"81","1980",11,9,2,148.94,256,1000000000
"82","1981",12,7,3,100.38,10,45000000
"83","1982",6,2,1,31.5,141,100000000
"84","1983",4,3,1,17.4,22,NA
"85","1984",13,5,1,84.3,35,66000000
"86","1985",11,7,3,87.98,241,NA
"87","1986",6,4,0,35.79,70,57000000
"88","1987",7,3,1,34.36,10,90000000
"89","1988",12,5,3,102.99,550,NA
"90","1989",11,7,2,135.13,112,NA
"91","1990",14,8,1,96.8,116,150000000
"92","1991",8,4,2,35.54,30,NA
"93","1992",7,4,1,76.22,66,NA
"94","1993",8,4,1,38.67,274,271000000
"95","1994",7,3,0,32.02,1184,NA
"96","1995",19,11,5,227.1,115,NA
"97","1996",13,9,6,166.18,179,NA
"98","1997",8,3,1,40.93,11,110000000
"99","1998",14,10,3,181.77,12000,NA
"100","1999",12,8,5,176.53,465,NA
"101","2000",15,8,3,119.14,105,NA
"102","2001",15,9,4,110.32,153,NA
"103","2002",12,4,2,67.99,50,NA
"104","2003",16,7,3,176.84,93,NA
"105","2004",15,9,6,226.88,3260,NA
"106","2005",28,15,7,250.13,3912,NA
"107","2006",10,5,2,78.54,14,NA
"108","2007",15,6,2,73.89,478,NA
"109","2008",16,8,5,145.72,1073,NA
"110","2009",9,3,2,52.58,9,58000000
"111","2010",19,12,5,165.48,392,NA
"112","2011",19,7,4,126.3,112,NA
"113","2012",19,10,2,132.63,355,NA
"114","2013",14,2,0,36.12,54,NA
"115","2014",8,6,2,66.73,21,NA
"116","2015",11,4,2,62.69,89,NA
"117","2016",15,7,4,141.25,736,NA
"118","2017",17,10,6,224.88,3364,NA
"119","2018",15,8,2,132.58,172,NA
"120","2019",18,6,3,132.2,119,NA
"121","2020",30,13,6,182.23,431,NA
